Date,Address,Postcode,Type,New-build,Tenure,Bedrooms,"Price paid",Lat,Lng,URL
"2022-06-27 00:00:00","3, Sutherland Square","SE17 3EQ","Terraced house","Old stock",Freehold,4,1180000,51.4859828,-0.0963911,https://propertydata.co.uk/transaction/E53EDD2D-4379-83EC-E053-6B04A8C03A59
"2022-06-25 00:00:00","35, Aylesbury Road","SE17 2EQ","Terraced house","Old stock",Freehold,2,450000,51.4877108,-0.0879147,https://propertydata.co.uk/transaction/EED73E76-12BE-6AF3-E053-6C04A8C08ABA
"2022-06-20 00:00:00","40, Date Street","SE17 2HQ","Terraced house","Old stock",Freehold,3,727000,51.487689,-0.0927405,https://propertydata.co.uk/transaction/E53EDD2E-2C7C-83EC-E053-6B04A8C03A59
"2022-06-17 00:00:00","Flat 43, Dhonau House, Longfield Estate","SE1 5TL",Flat,"Old stock",Leasehold,1,246500,51.4920325,-0.0740879,https://propertydata.co.uk/transaction/E2D14906-1CDD-4C2D-E053-6B04A8C0422B
"2022-06-16 00:00:00","49, Lytham Street","SE17 2PN","Terraced house","Old stock",Freehold,2,580000,51.4857393,-0.0905466,https://propertydata.co.uk/transaction/F3B6C198-D96A-6E40-E053-6C04A8C0B3B4
"2022-06-07 00:00:00","Flat 50, Studland, Portland Street","SE17 2TW",Flat,"Old stock",Leasehold,1,295000,51.4880802,-0.0904934,https://propertydata.co.uk/transaction/E53EDD2E-5030-83EC-E053-6B04A8C03A59
"2022-05-27 00:00:00","6, Sondes Street","SE17 2PQ","Terraced house","Old stock",Freehold,2,571500,51.4850417,-0.089766,https://propertydata.co.uk/transaction/F3B6C198-D50B-6E40-E053-6C04A8C0B3B4
"2022-05-27 00:00:00","14b, Southwark Park Road","SE16 3RT",Flat,"Old stock",Leasehold,1,325000,51.4927111,-0.0733627,https://propertydata.co.uk/transaction/E53EDD2E-4FFA-83EC-E053-6B04A8C03A59
"2022-05-20 00:00:00","4, Burnham Close","SE1 5RL",Flat,"Old stock",Leasehold,2,450000,51.4897307,-0.0723638,https://propertydata.co.uk/transaction/E2D14906-1E10-4C2D-E053-6B04A8C0422B
"2022-04-29 00:00:00","8, Kennedy Walk","SE17 1QL",Flat,"Old stock",Leasehold,1,305000,51.4903626,-0.0872996,https://propertydata.co.uk/transaction/EC7AD09A-4D96-9200-E053-6C04A8C0E306
"2022-04-14 00:00:00","Flat 1, Littlebourne House, Upnor Way","SE17 2RW",Flat,"Old stock",Leasehold,1,264000,51.4880379,-0.0791401,https://propertydata.co.uk/transaction/DE2D0CE0-3AF9-51EE-E053-6C04A8C00671
"2022-04-08 00:00:00","2, Chaucer Drive","SE1 5TA","Terraced house","Old stock",Freehold,3,690000,51.4905928,-0.0741945,https://propertydata.co.uk/transaction/E2D14906-1EDC-4C2D-E053-6B04A8C0422B
"2022-04-07 00:00:00","7a, Trafalgar Avenue","SE15 6NP",Flat,"Old stock",Leasehold,1,365000,51.485789,-0.0737931,https://propertydata.co.uk/transaction/F5E8B081-E048-3A13-E053-6C04A8C060B7
"2022-04-01 00:00:00","155, Merrow Street","SE17 2NY",Flat,"Old stock",Leasehold,2,450000,51.4870699,-0.0879622,https://propertydata.co.uk/transaction/E2D14906-1F1A-4C2D-E053-6B04A8C0422B
"2022-03-28 00:00:00","8, Sutherland Square","SE17 3EQ","Terraced house","Old stock",Freehold,3,1000000,51.4858422,-0.0956036,https://propertydata.co.uk/transaction/E073986B-CED6-2134-E053-6C04A8C0233B
"2022-03-25 00:00:00","Flat 30, Dartford House, Longfield Estate","SE1 5RZ",Flat,"Old stock",Leasehold,2,389995,51.4926715,-0.074252,https://propertydata.co.uk/transaction/E073986B-CFCA-2134-E053-6C04A8C0233B
"2022-03-24 00:00:00","25, Aylesbury Road","SE17 2EQ",Flat,"Old stock",Leasehold,2,382500,51.4876045,-0.088095,https://propertydata.co.uk/transaction/E2D14906-22E3-4C2D-E053-6B04A8C0422B
"2022-03-15 00:00:00","Flat 25, Andoversford Court, Bibury Close","SE15 6AE",Flat,"Old stock",Leasehold,2,320000,51.4812042,-0.0800056,https://propertydata.co.uk/transaction/E073986B-CFDF-2134-E053-6C04A8C0233B
"2022-03-11 00:00:00","20, Sutherland Square","SE17 3EQ","Terraced house","Old stock",Freehold,4,1245000,51.485431,-0.096443,https://propertydata.co.uk/transaction/DE2D0CDF-3F83-51EE-E053-6C04A8C00671
"2022-03-11 00:00:00","Flat 2, Eugene Cotter House, Beckway Street","SE17 1QS",Flat,"Old stock",Leasehold,3,355000,51.4913205,-0.0863137,https://propertydata.co.uk/transaction/DBA933FA-11D9-669D-E053-6B04A8C0AD56
"2022-03-08 00:00:00","14, Lytham Street","SE17 2PN","Terraced house","Old stock",Freehold,1,518000,51.4857393,-0.0905466,https://propertydata.co.uk/transaction/E7B085FC-D915-7E31-E053-6C04A8C0E67F
"2022-02-28 00:00:00","Flat 19, Newbolt House, Brandon Street","SE17 1AA",Flat,"Old stock",Leasehold,2,355000,51.4893111,-0.0912312,https://propertydata.co.uk/transaction/DBA933FA-1168-669D-E053-6B04A8C0AD56
"2022-02-21 00:00:00","86, Wooler Street","SE17 2EF",Flat,"Old stock",Leasehold,2,450000,51.4880351,-0.0877782,https://propertydata.co.uk/transaction/DBA933FA-106D-669D-E053-6B04A8C0AD56
"2022-02-21 00:00:00","60, Cadet Drive","SE1 5RU","Semi-detached house","Old stock",Freehold,2,472500,51.4897906,-0.0714261,https://propertydata.co.uk/transaction/E073986B-D540-2134-E053-6C04A8C0233B
"2022-02-18 00:00:00","122, Chaucer Drive","SE1 5RG",Flat,"Old stock",Leasehold,1,340000,51.4893074,-0.0740163,https://propertydata.co.uk/transaction/EED73E76-B874-6AF3-E053-6C04A8C08ABA
"2022-02-09 00:00:00","Flat 20, Richmond House, East Street","SE17 2DU",Flat,"Old stock",Leasehold,3,350002,51.4890395,-0.0905384,https://propertydata.co.uk/transaction/D93B27B1-70F6-3100-E053-6C04A8C08887
"2022-02-07 00:00:00","25, Lytham Street","SE17 2PN","Terraced house","Old stock",Freehold,3,595000,51.4856919,-0.090714,https://propertydata.co.uk/transaction/E073986B-ABD0-2134-E053-6C04A8C0233B
"2022-02-04 00:00:00","13, Phelp Street","SE17 2PH","Terraced house","Old stock",Freehold,2,570000,51.4846355,-0.0902778,https://propertydata.co.uk/transaction/E073986B-AB3C-2134-E053-6C04A8C0233B
"2022-02-04 00:00:00","34, Sutherland Walk","SE17 3EF","Terraced house","Old stock",Freehold,4,875000,51.4863407,-0.0953258,https://propertydata.co.uk/transaction/E073986B-AC26-2134-E053-6C04A8C0233B
"2022-02-02 00:00:00","19, Henshaw Street","SE17 1PE","Terraced house","Old stock",Freehold,3,875000,51.4928129,-0.0907165,https://propertydata.co.uk/transaction/E53EDD2E-4FF3-83EC-E053-6B04A8C03A59
